,Unnamed: 0,Project_ID,Recipient-ID,Recipient_Name,State/Territory,Reporting_Tier,Recipient_Type,Completion_Status,Project_Name,Expenditure_Category_Group,Expenditure_Category,Project_Description,Adopted_Budget,Total_Cumulative_Obligations,Total_Cumulative_Expenditures,Number_of_Households_Served_(Select_Expenditure_Categories_Only),Number_of_Workers_Served_(Select_Expenditure_Categories_Only),Number_of_Gov_FTE_Responding_to_COVID-19_(Select_Expenditure_Categories_Only),Number_of_Gov_FTE_Rehired_(Select_Expenditure_Categories_Only),Community_benefit_agreement?_(Infrastructure_Only),Complying_with_David_Bacon?_(Infrastructure_Only),Project_labor_agreement?_(Infrastructure_Only),Does_the_Project_have_Capital_Expenditures?_(Yes/No)_(Select_Expenditure_Categories_Only),Type_of_Capital_Expenditures_(Select_Expenditure_Categories_Only),Total_Expected_Cost_of_Capital_Expenditures_(Select_Expenditure_Categories_Only),Primary_Demographic_Served_(Select_Expenditure_Categories_Only),Secondary_Demographic_Served_(Select_Expenditure_Categories_Only),Tertiary_Demographic_Served_(Select_Expenditure_Categories_Only),Project_is_conducting_an_evidence_based_program_evaluation?_(Yes/No),Project_Total_Spending_on_Evidence_Based_Evaluation,timestamp,Number_of_Gov_FTE_Rehired_(Select_Expenditure_Categories_Only)2,Complying_with_Davis_Bacon?_(Infrastructure_Only),Project_being_evaluated_through_rigorous_program_evaluation?,Dollar_amount_of_the_total_project_spending_allocated_towards_evidence-based_interventions,Project_Description_keywords,Project_mention_tracing_yn
941,941,TPN-097096,RCP-036433,"Whatcom County, Washington",Washington,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents which received more than $10 million in SLFRF funding",Local Government,Completed,Contact Tracing Q2 2022,1-Public Health,1.3-COVID-19 Contact Tracing,Efforts to trace spread of the COVID19 virus in the community.,,37959.0,37959.0,,,,,,,,No,,,1 Imp General Public,,,,,2022-06-30,,,,,"COVID19, Efforts, community, spread, trace, virus",yes
942,942,TPN-099993,RCP-035994,State of Illinois,Illinois,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",State/DC,Not Started,COVID19 Contract Tracing,1-Public Health,1.3-COVID-19 Contact Tracing,"This project covers COVID-19 contact tracing for all staff, individuals in custody and contractors that report to work daily in our facilities.  As positive cases occur, they are reported via phone call, tracked by Agency, facility and community.  This information is available for reporting to outside Agencies as needed.  Contact tracing also provides direction for quarantine and / or isolation for those individuals reporting positive cases.",400000.0,0.0,0.0,,,,,,,,No,,,,,,,,2022-06-30,,,,,"Agencies, Agency, COVID-19, Contact, available, cases, community, contact, contractors, covers, custody, direction, facilities, facility, individuals, information, isolation, needed, occur, outside, phone, positive, project, provides, quarantine, report, reported, reporting, staff, tracing, tracked, work",yes
943,943,TPN-093088,RCP-038331,"Culpeper County, Virginia",Virginia,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents which received more than $10 million in SLFRF funding",Local Government,Completed,Sprayers,1-Public Health,1.3-COVID-19 Contact Tracing,purchased 2 electrostatic sprayers for disinfecting large spaces,,698.0,698.0,,,,,,,,No,,,1 Imp General Public,,,,,2022-06-30,,,,,"disinfecting, electrostatic, large, purchased, spaces, sprayers",no
944,944,TPN-095789,RCP-036168,"Fresno County, California",California,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed,1.3 22Q4 - ONGOING COVID-19 MITIGATION,1-Public Health,1.3-COVID-19 Contact Tracing,TRACING EXPOSURE TO COVID 19 TO PREVENT SPREAD,26814.14,26814.14,26814.14,,,,,,,,No,,,1 Imp General Public,,,,,2022-06-30,,,,,"COVID, EXPOSURE, PREVENT, SPREAD, TRACING",no
945,945,TPN-099738,RCP-037274,"Greene County, Ohio",Ohio,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents which received more than $10 million in SLFRF funding",Local Government,Completed,Contact Tracing for Greene County Schools,1-Public Health,1.3-COVID-19 Contact Tracing,Contact tracing for Greene County schools.,,107075.95,107075.95,,,,,,,,No,,,1 Imp General Public,,,,,2022-06-30,,,,,"Contact, County, Greene, schools, tracing",yes
946,946,TPN-099712,RCP-037598,"Framingham, Massachusetts",Massachusetts,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents which received more than $10 million in SLFRF funding",Local Government,Completed less than 50%,Framingham COVID-19 Contact Tracing,1-Public Health,1.3-COVID-19 Contact Tracing,COVID Contact Tracing,0.0,0.0,0.0,,,,,,,,No,,,1 Imp General Public,2 Imp Low or moderate income HHs or populations,4 Imp HHs that experienced increased food or housing insecurity,,,2022-06-30,,,,,"COVID, Contact, Tracing",no
947,947,TPN-094921,RCP-040166,"Westfield, Massachusetts",Massachusetts,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents which received more than $10 million in SLFRF funding",Local Government,Completed,Contact  Tracer II,1-Public Health,1.3-COVID-19 Contact Tracing,contact tracer to continue work within the Health Department.,,2475.0,2475.0,,,,,,,,No,,,1 Imp General Public,,,,,2022-06-30,,,,,"Department, Health, contact, continue, tracer, work",yes
948,948,TPN-097453,RCP-038552,"County Of Bristol, Massachusetts",Massachusetts,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed,Town of Mansfield school contact tracing,1-Public Health,1.3-COVID-19 Contact Tracing,The school nurses have performed the tasks involved in contact tracing during the pandemic. They have earned their hourly wage during the afterschool and weekend hours so they are able to complete all of the phone calls to families to provide direction and support for students who were close contacts to a COVID-positive student or staff member. Parents/guardians have many questions when COVID hits close to their homes and they rely on the expertise of our registered nurses to provide the information to meet their needs.,12978.0,12978.0,12978.0,,,,,,,,No,,,1 Imp General Public,,,,,2022-06-30,,,,,"COVID, Parents, able, afterschool, calls, close, complete, contact, contacts, direction, earned, expertise, families, guardians, hits, homes, hourly, hours, information, involved, meet, member, needs, nurses, pandemic, performed, phone, positive, provide, questions, registered, rely, school, staff, student, students, support, tasks, tracing, wage, weekend",yes
949,949,TPN-097510,RCP-038552,"County Of Bristol, Massachusetts",Massachusetts,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed less than 50%,City of Taunton BOH contract tracing nurse,1-Public Health,1.3-COVID-19 Contact Tracing,"The Contract Tracing Nurse is responsible for outreach to individuals who have tested positive for COVID-19 as well as those who are identified as close contacts of a positive individual to provide health education and guidance to interrupt disease transmission. Guided by standard protocols for assessing symptoms, exposure, and other relevant health information, the tracing nurse provides instruction for isolation, self-quarantine, testing, and refers for any needed clinical services.
Based on current cases per day, approx 7,000 people a year will be served by this, with the potential to serve the entire city. Approx 40% of that figure are low to moderate income. 
Program focus mainly on COVID positive people, elderly, children & low to moderate income. Visit over 55 living, soup kitchens, camps, etc... BOH uses survey (verbal), and evaluations of the program to ensure success.",90000.0,45000.0,45000.0,,,,,,,,No,,,1 Imp General Public,,,,,2022-06-30,,,,,"%, Approx, BOH, Based, COVID, COVID-19, Contract, Guided, Nurse, Program, Tracing, Visit, approx, assessing, camps, cases, children, city, clinical, close, contacts, current, day, disease, education, elderly, ensure, entire, evaluations, exposure, figure, focus, guidance, health, identified, income, individual, individuals, information, instruction, interrupt, isolation, kitchens, living, low, moderate, needed, nurse, outreach, people, positive, potential, program, protocols, provide, provides, quarantine, refers, relevant, responsible, self, serve, served, services, soup, standard, success, survey, symptoms, tested, testing, tracing, transmission, uses, verbal, year",yes
950,950,TPN-097062,RCP-040461,"Norfolk County, Massachusetts",Massachusetts,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed,COVID-19 Contact Tracing,1-Public Health,1.3-COVID-19 Contact Tracing,"Contact tracing costs, Part Time Mary Jane Jacobs - COVID Contract Tracing. Costs for FY22 only.  Check dates 8/20/2021 - 2/11/2022
1- Payroll Report Jacobs #2 = 10,873.01 - Part time, no benefits associated with this cost. 2- MJ Attestation = 10,873.01.  Summation error resulting in .01 discrepancy; however, times match and sum to the requested amount. 3-  Jacobs Detail = the submitted time sheets from the department to our payroll office which match the date/times worked.
Mary Jane worked through the MDPH MAVEN epidemiologic network to receive notification of positive COVID-19 cases in Dedham. She contacted cases based on the contact information provided in MAVEN and recorded data collected in her interviews in MAVEN. She linked close contacts to index case in MAVEN and recorded quarantine information as well. She also was contacted by schools, daycares, and sports organizations directly to conduct case investigations and close contact notifications. Case ages 0.15 to 104.5 yrs old",10873.01,10873.01,10873.01,,,,,,,,No,,,1 Imp General Public,,,,,2022-06-30,,,,,"1-, 10,873.01, =, Attestation, COVID, COVID-19, Case, Check, Contact, Contract, Costs, Dedham, Detail, FY22, Jacobs, Jane, MAVEN, MDPH, MJ, Mary, Payroll, Report, Summation, Time, Tracing, ages, associated, based, benefits, case, cases, close, collected, conduct, contact, contacted, contacts, cost, costs, data, date, dates, daycares, department, discrepancy, epidemiologic, error, index, information, interviews, investigations, linked, match, network, notification, notifications, office, old, organizations, payroll, positive, provided, quarantine, receive, recorded, requested, resulting, schools, sheets, sports, submitted, sum, time, times, tracing, worked, yrs",yes
951,951,TPN-094857,RCP-040415,"Jackson, Michigan",Michigan,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents which received more than $10 million in SLFRF funding",Local Government,Completed less than 50%,REFURBISH FIRESTATION,1-Public Health,1.3-COVID-19 Contact Tracing,Building and site improvements to Fire Station #2,,128600.0,40142.5,,,,,,,,No,,,1 Imp General Public,,,,,2022-06-30,,,,,"Building, Fire, Station, improvements, site",no
952,952,TPN-030140,RCP-036074,State Of Alabama,Alabama,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",State/DC,Completed,Hospital COVID-19 Recovery Fund Program 1.3,1-Public Health,1.3-COVID-19 Contact Tracing,"Contact tracing for Hospital COVID-19 Recovery Fund Program. This program is for healthcare and related services related to the COVID-19 pandemic and public health emergency for Alabama hospitals, all in accordance with the requirements of Section 602 of the Social Security Act and the Interim Final Rule.",3359.82,3359.82,3359.82,,,,,,,,No,,,1 Imp General Public,,,,,2022-06-30,,,,,"Act, Alabama, COVID-19, Contact, Final, Fund, Hospital, Interim, Program, Recovery, Rule, Section, Security, Social, accordance, emergency, health, healthcare, hospitals, pandemic, program, public, related, requirements, services, tracing",yes
953,953,TPN-013205,RCP-036064,"Pima County, Arizona",Arizona,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed less than 50%,Contact Tracing / Case Investigation,1-Public Health,1.3-COVID-19 Contact Tracing,Support for continued Contact Tracing and Case Investigation to further mitigate the spread of COVID-19 throughout Pima County,24425167.09,4289491.89,4289491.89,,,,,,,,No,,,1 Imp General Public,,,,,2022-06-30,,,,,"COVID-19, Case, Contact, County, Investigation, Pima, Support, Tracing, continued, mitigate, spread",no
954,954,TPN-023095,RCP-036051,"County Of San Diego, California",California,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed 50% or more,COVID-19 Contact Tracing,1-Public Health,1.3-COVID-19 Contact Tracing,"As part of the County of San Diego's COVID-19 response effort, the County developed the T3 Strategy of Test, Trace, Treat. The Trace component of the County’s T3 Strategy includes the direct focus of disease surveillance and disease control operations. Key operational areas include: disease reporting, intake and processing of reported COVID-19 cases and lab results, case investigation, contact tracing, pre-outbreak assessment, outbreak investigations, data analysis and data reports, and health education and promotion. Strategies include: 

• Utilizing Community Health Workers to support contact tracing efforts
• Contract with University of California San Diego (UCSD) for contract tracing support among college age population ages 18 to 24 years throughout San Diego County.
• Partnering with the County’s Land Use and Environment Group, the Epidemiology Unit made referrals to the Department of Environmental Heath and Quality and the Safe Reopening Compliance Team about community settings with possible safe reopening safety concerns or because of outbreaks occurring in such settings.
• Site assessments and field response to clusters and outbreak at skilled nursing facilities and long-term care facilities.  
• Referrals provided among cases and contacts needing resources and services, including a COVID-19 Positive recovery stipend  for employed individuals not otherwise eligible for paid time-off or State unemployment benefits.
• Utilizing Community Health Workers to support contact tracing efforts
• Contract with University of California San Diego (UCSD) for contract tracing support among college age population ages 18 to 24 years throughout San Diego County.
• Partnering with the County’s Land Use and Environment Group, the Epidemiology Unit made referrals to the Department of Environmental Heath and Quality and the Safe Reopening Compliance Team about community settings with possible safe reopening safety concerns or because of outbreaks occurring in such settings.
• Site assessments and field response to clusters and outbreak at skilled nursing facilities and long-term care facilities.  
• Referrals provided among cases and contacts needing resources and services, including a COVID-19 Positive recovery stipend  for employed individuals not otherwise eligible for paid time-off or State unemployment benefits.",54000000.0,53035912.71,50323075.71,,,,,,,,No,,,1 Imp General Public,,,,,2022-06-30,,,,,"-, COVID-19, California, Community, Compliance, Contract, County, Department, Diego, Environment, Environmental, Epidemiology, Group, Health, Heath, Key, Land, Partnering, Positive, Quality, Referrals, Reopening, Safe, San, Site, State, Strategies, Strategy, T3, Team, Test, Trace, Treat, UCSD, Unit, University, Use, Utilizing, Workers, age, ages, analysis, areas, assessment, assessments, benefits, care, case, cases, clusters, college, community, component, concerns, contact, contacts, contract, control, data, developed, direct, disease, education, effort, efforts, eligible, employed, facilities, field, focus, health, include, includes, including, individuals, intake, investigation, investigations, lab, long, needing, nursing, occurring, operational, operations, outbreak, outbreaks, paid, population, possible, pre, processing, promotion, provided, recovery, referrals, reopening, reported, reporting, reports, resources, response, results, safe, safety, services, settings, skilled, stipend, support, surveillance, term, time, tracing, unemployment, years, •",yes
955,955,TPN-013497,RCP-036232,State Of Colorado,Colorado,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",State/DC,Completed less than 50%,Distributions to local public health agencies: Tracing,1-Public Health,1.3-COVID-19 Contact Tracing,"This is a portion of the local support funding that is available to all local public health agencies. Six local public health agencies opted to use this funding for costs of providing COVID–19 testing and monitoring, contact tracing, and monitoring of case trends and genomic sequencing for variants. The intended outcome of the State’s public health spending is to ensure and improve Coloradans' access to quality health care.  Timeline: Jul 2021 - Jun 2022.",139982.0,104324.0,11722.84,,,,,,,,No,,,1 Imp General Public,,,,,2022-06-30,,,,,"COVID–19, Coloradans, Jul, Jun, State, Timeline, access, agencies, available, care, case, contact, costs, ensure, funding, genomic, health, improve, intended, local, monitoring, opted, outcome, portion, providing, public, quality, sequencing, spending, support, testing, tracing, trends, use, variants",yes
956,956,TPN-011929,RCP-039037,"Jackson County, Illinois",Illinois,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents which received more than $10 million in SLFRF funding",Local Government,Completed less than 50%,Jackson County Health Department Contract Tracing,1-Public Health,1.3-COVID-19 Contact Tracing,"This project provides funding for the Jackson County Health Department  for contract tracing efforts to minimize the spread of COVID-19. Throughout the COVID-19 pandemic, one of the top priorities of the Health Department has been to minimize the spread of the disease. These contract tracing efforts have required the hiring of additional personnel to contact those individuals who have contracted coronavirus and locate everyone they have come into close contact with. Due to the quick spreading nature of this disease, doing so requires several dedicated employees to track down the many potential cases of COVID-19. This project funds a critically important aspect of the COVID-19 pandemic as carried out by the Jackson County Health Department.",,150930.0,71731.54,,,,,,,,No,,,1 Imp General Public,,,,,2022-06-30,,,,,"COVID-19, County, Department, Health, Jackson, additional, aspect, carried, cases, close, come, contact, contract, contracted, coronavirus, dedicated, disease, efforts, employees, funding, funds, hiring, important, individuals, locate, minimize, nature, pandemic, personnel, potential, priorities, project, provides, quick, required, requires, spread, spreading, tracing, track",yes
957,957,TPN-038980,RCP-035993,"Kane County, Illinois",Illinois,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed less than 50%,Covid-19 Contact Tracing,1-Public Health,1.3-COVID-19 Contact Tracing,Countywide contact tracing,4216542.62,4216542.62,1651138.82,,,,,,,,No,,,1 Imp General Public,,,,,2022-06-30,,,,,"Countywide, contact, tracing",yes
958,958,TPN-025611,RCP-035843,"Louisville-Jefferson County Metro Government, Kentucky",Kentucky,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed 50% or more,COVID-19 Response - Contact Tracing,1-Public Health,1.3-COVID-19 Contact Tracing,"Our COVID-19 response includes disease investigation activities: case interviews, contact tracing, daily follow-ups for positive cases, essential need requests, specialized teams for disease investigations, quality assurance and staffing 24/7 help line for residents to call with COVID-19 related questions.",6095950.0,3936131.81,3899131.81,,,,,,,,Yes,Acquisition of equipment for COVID-19 prevention and treatment,27000.0,1 Imp General Public,,,,,2022-06-30,,,,,"COVID-19, activities, assurance, case, cases, contact, daily, disease, essential, follow, help, includes, interviews, investigation, investigations, line, need, positive, quality, questions, related, requests, residents, response, specialized, staffing, teams, tracing, ups",yes
959,959,TPN-022180,RCP-036163,"City Of Henderson, Nevada",Nevada,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed less than 50%,COVID-19 Contact Tracing,1-Public Health,1.3-COVID-19 Contact Tracing,"The City hired staff to conduct contact tracing for employees. The Southern Nevada Health District (SNHD) conducts contact tracing when exposure occurs in a public setting such as a school or business. The City will continue this effort until the pandemic has ended or until new guidance is adopted by the Center for Disease Control (CDC). 
Over the past two years the City has developed a number of tools to make contact tracing and employee notifications more efficient. The tools include: a Master Tracker; a COVID questionnaire that provides basic quarantine info based on the employee’s response, a COVID Coordinator email inbox and direct phone line with automated phone tree info for quick information and response; an employee guide on what to do if you are sick or exposed to COVID-19; a supervisor’s guide on how to hand sick or exposed employees; a City Share Point page (information of COVID-19, the COVID Coordinator phone line and COVID-19 totals); citywide email with COVID information; automated emails; and intake survey. City staff ensure that all positive employees are contacted, and close contacts are reviewed and confirmed. As of June 2022, one-thousand, one-hundred and thirty-eight staff were confirmed positive for COVID-19. This represented 36% of the workforce. Of those confirmed, 20 were hospitalized, but there were no deaths reported.",280000.0,129728.15,129728.15,,,,,,,,No,,,1 Imp General Public,1 Imp General Public,,,,2022-06-30,,,,,"%, CDC, COVID, COVID-19, Center, City, Control, Coordinator, Disease, District, Health, June, Master, Nevada, Point, SNHD, Share, Southern, Tracker, adopted, automated, based, basic, business, citywide, close, conduct, conducts, confirmed, contact, contacted, contacts, continue, deaths, developed, direct, efficient, effort, email, emails, employee, employees, ended, ensure, exposed, exposure, guidance, guide, hand, hired, hospitalized, inbox, include, info, information, intake, line, new, notifications, number, occurs, page, pandemic, past, phone, positive, provides, public, quarantine, questionnaire, quick, reported, represented, response, reviewed, school, setting, sick, staff, supervisor, survey, tools, totals, tracing, tree, workforce, years",yes
960,960,TPN-028984,RCP-036186,"County of Middlesex, New Jersey",New Jersey,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed,Contact Tracing Support,1-Public Health,1.3-COVID-19 Contact Tracing,"A designated contact tracing center was established to aide in the prevention of spreading the virus once patients tested positive, to help make appointments for testing, and the employees were also tasked with calling the patients to report the results of testing. Running these tracing sites required resources to provide means of contacting patients, data collection, and equipment to run the center.",116302.01,116302.01,116302.01,,,,,,,,No,,,1 Imp General Public,,,,,2022-06-30,,,,,"Running, aide, appointments, calling, center, collection, contact, contacting, data, designated, employees, equipment, established, help, means, patients, positive, prevention, provide, report, required, resources, results, run, sites, spreading, tasked, tested, testing, tracing, virus",yes
961,961,TPN-029523,RCP-036079,"Washington County, Oregon",Oregon,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed 50% or more,COVID-19 Case Investigation,1-Public Health,1.3-COVID-19 Contact Tracing,"From July 2021 until June 2022, Washington County Case Investigation Staff:
	• Processed positive SARS-CoV-2 electronic lab reports, provider reports, and home tests reported through OHA REDCap COVID surveys and created COVID cases within one business day of lab receipt in state OPERA database
	• Identified cases that link to high-risk facilities and expediated them to the outbreak team for investigation. 
	• Performed quality assurance work to include the removal of duplicate cases, correction of missing demographics and linkage of  cases with variant test results. 
	• Performed medical record entry for deaths and hospitalizations.
	• Complete data entry for contacts to known cases. 
	• Maintained and reviewed  educational documents and tools in multiple languages to facilitate up-to-date prevention efforts. 
	• Monitored data for rising case counts in at-risk populations and high risk facilities/places of employment.
- Staffed a clinical nurse phone line to provide consultation to employers and individuals in the county on outbreak and prevention guidance, isolation and quarantine education and support, community referrals to  behavioral , financial, food and medical resources, respite shelter referrals, and COVID education on prevention and isolation guidance",4300000.0,4298440.46,4071327.65,,,,,,,,No,,,1 Imp General Public,,,,,2022-06-30,,,,,"COVID, Case, CoV-2, Complete, County, Identified, Investigation, July, June, Maintained, Monitored, OHA, OPERA, Performed, Processed, REDCap, SARS, Staff, Staffed, Washington, assurance, behavioral, business, case, cases, clinical, community, consultation, contacts, correction, counts, county, created, data, database, date, day, deaths, demographics, documents, duplicate, education, educational, efforts, electronic, employers, employment, entry, expediated, facilitate, facilities, financial, food, guidance, high, home, hospitalizations, include, individuals, investigation, isolation, known, lab, languages, line, link, linkage, medical, missing, multiple, nurse, outbreak, phone, places, populations, positive, prevention, provide, provider, quality, quarantine, receipt, record, referrals, removal, reported, reports, resources, respite, results, reviewed, rising, risk, shelter, state, support, surveys, team, test, tests, tools, variant, work, •",no
962,962,TPN-038985,RCP-035886,"City Of El Paso, Texas",Texas,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed less than 50%,Emergency Operations Center,1-Public Health,1.3-COVID-19 Contact Tracing,"This project supports the Education & Information program directly responsible for providing general assistance to the public including help and information related to scheduling COVID19 testing appointments. The Education Task Force targets nursing homes, assisted living facilities and City & County Departments. This expenses cover payroll and payroll related expenses.",100000.0,96894.85,49051.65,,,,,,,,No,,,1 Imp General Public,,,,,2022-06-30,,,,,"COVID19, City, County, Departments, Education, Force, Information, Task, appointments, assistance, assisted, cover, expenses, facilities, general, help, homes, including, information, living, nursing, payroll, program, project, providing, public, related, responsible, scheduling, supports, targets, testing",no
963,963,TPN-039000,RCP-035886,"City Of El Paso, Texas",Texas,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed less than 50%,Epidemiology Investigation & Monitoring,1-Public Health,1.3-COVID-19 Contact Tracing,"This project supports the Epidemiology Investigating and Monitoring program with payroll associated expenses for staff working in in contact tracing to include but not limited to equipment, supplies, software and contracts necessary for contact tracing purposes.",148344.0,148343.56,59369.46,,,,,,,,No,,,1 Imp General Public,,,,,2022-06-30,,,,,"Epidemiology, Investigating, Monitoring, associated, contact, contracts, equipment, expenses, include, limited, necessary, payroll, program, project, purposes, software, staff, supplies, supports, tracing, working",yes
964,964,TPN-024190,RCP-039335,"La Crosse County, Wisconsin",Wisconsin,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents which received more than $10 million in SLFRF funding",Local Government,Completed,2021 La Crosse County Continued COVID-19 Response Resolution 44-12/21,1-Public Health,1.3-COVID-19 Contact Tracing,"""Aug-Dec 2021 salaries and fringes for contact tracing, disease investigating and monitoring. Operating expenses include printed materials and computer equipment to add LTE capacity for contact tracing, """,,566477.71,566477.71,,,,,,,,No,,,1 Imp General Public,,,,,2022-06-30,,,,,"Aug, Dec, LTE, Operating, add, capacity, computer, contact, disease, equipment, expenses, fringes, include, investigating, materials, monitoring, printed, salaries, tracing",yes
965,965,TPN-001703,RCP-036100,"Larimer County, Colorado",Colorado,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed,Larimer County Health Department Case Management System,1-Public Health,1.3-COVID-19 Contact Tracing,"During the initial stages of the pandemic, the Larimer County Department Health & Environment (LCDHE) utilized the Larimer County Information Technology Department (IT) to build an automated Contact Information and Case Management (CICM) System.  This system was designed to replace an existing system made up of cumbersome spreadsheets to track COVID-19 case information. The project completed prior to the Fiscal Recovery Fund eligible date (March 3, 2021) cost approximately $125,000. During the spring of 2021, LCDHE utilized IT, which had custom developed the original CICM system, to add more functionality to the CICM tool, including communications components to ensure timely, accurate, and comprehensive communications to both patients and the public at large, tracking of vaccination information, and integrations with similar systems developed by the State of Colorado Department of Public Health and Environment. Larimer County IT spent approximately 630 hours on software development to improve the tool, at which it billed LCDHE for $90 per hour for the work performed.",56702.0,56702.0,56702.0,,,,,,,,No,,,1 Imp General Public,,,,,2022-06-30,,,,,"CICM, COVID-19, Case, Colorado, Contact, County, Department, Environment, Fiscal, Fund, Health, Information, LCDHE, Larimer, Management, March, Public, Recovery, State, System, Technology, accurate, add, automated, billed, build, case, communications, completed, components, comprehensive, cost, cumbersome, custom, date, designed, developed, development, eligible, ensure, existing, functionality, hour, hours, improve, including, information, initial, integrations, large, original, pandemic, patients, performed, project, public, replace, similar, software, spent, spreadsheets, spring, stages, system, systems, timely, tool, track, tracking, utilized, vaccination, work",no
966,966,TPN-002707,RCP-037932,"Fitchburg, Massachusetts",Massachusetts,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents which received more than $10 million in SLFRF funding",Local Government,Completed less than 50%,"COVID Test, Trace, and Vaccinate",1-Public Health,1.3-COVID-19 Contact Tracing,"As part of the city’s ongoing efforts to deal with the COVID-19 pandemic, this project will expand on current public health activities, including a focus on increasing COVID-19 testing, increasing COVID-19 vaccination rates by increasing access to the vaccine, and increasing staff for contact tracing in order to provide sufficient tracking, surveillance, and compliance with isolation and quarantine orders that assist with the prevention of COVID-19 spread.
The Commonwealth ended contact tracing on November 30, 2021, and the city has had to pick up that work. Most recently, testing has become difficult for residents to obtain, so the city is acquiring quantities of at-home tests for distribution within the community and has established a regional drive-thru test site at the Fitchburg Airport in cooperation with the City of Leominster and Montachusett Public Health Network. 
This project will benefit the health of city residents in particular and of the greater area in general.
'",500000.0,184197.96,184197.96,,,,,,,,No,,,1 Imp General Public,,,,,2022-06-30,,,,,"Airport, COVID-19, City, Commonwealth, Fitchburg, Health, Leominster, Montachusett, Network, November, Public, access, acquiring, activities, area, assist, benefit, city, community, compliance, contact, cooperation, current, deal, difficult, distribution, drive, efforts, ended, established, expand, focus, general, greater, health, home, including, increasing, isolation, obtain, ongoing, order, orders, pandemic, particular, pick, prevention, project, provide, public, quantities, quarantine, rates, regional, residents, site, spread, staff, sufficient, surveillance, test, testing, tests, tracing, tracking, vaccination, vaccine, work",yes
